term,importance
auction_level,0.0968128299095289
contract_strain,0.04267726453959352
rho_opened,0.030673198757550053
is_passout,0.02715896132579347
has_contract,0.027109600637760987
lho_opened,0.026130104682455323
partner_opened,0.018482246102702826
self_opened,0.013840542426598282
is_competitive,0.013619645251221741
hcp_total & auction_level,0.013359565968117503
len_club,0.013117272566943129
hcp_total,0.012929777613983768
n_passed_before_opening,0.0097992363753748
ltc,0.008875217214795887
quick_tricks & auction_level,0.008601853814782939
hcp_total & contract_strain,0.008156994467501379
hcp_total & is_passout,0.008064139425136467
hcp_total & has_contract,0.007914082521601494
len_diamond,0.0076915346398132136
hcp_total & n_contracts_bid,0.007094866908826259
quick_tricks & contract_strain,0.006988163518360192
quick_tricks & n_contracts_bid,0.006759437029058091
quick_tricks & is_passout,0.006693021988220465
quick_tricks & has_contract,0.006665547903175181
n_honors_in_long_suits,0.005835182510074128
hcp_heart,0.005789356161072473
we_vulnerable,0.005703253663484165
n_aces,0.005618904076101505
quick_tricks,0.005311717888346015
len_spade,0.005303163974255664
has_ak_in_any_suit,0.005278681269364135
controls_spade,0.005081292530115977
n_contracts_bid,0.005019098435653839
unfavorable_vul,0.004740028638998262
controls_diamond,0.0047118964324386415
controls_total,0.0044307496844017994
n_suits_with_honors,0.0043855761189528115
hcp_spade,0.004340992206069267
controls_heart,0.004326012292829011
controls_club,0.00408648306692943
len_heart,0.003939732827023373
shortest_suit,0.003447457893442767
favorable_vul,0.0033958626703650113
hcp_club,0.0028554433787269045
longest_suit,0.0025621312226440465
they_vulnerable,0.002556341239333691
is_doubled,0.0024945682147170163
n_queens,0.002354501851120503
n_kings,0.00194669236088118
hcp_diamond,0.0018662005070959834
n_voids,0.0016364267112186266
none_vulnerable,0.0016346866919713875
n_singletons,0.0012693581341184327
double_status,0.0012136518773535907
n_jacks,0.0007453987850960761
is_balanced,0.000735138531054111
both_vulnerable,0.0005863504468896492
is_redoubled,0.0001412717825745267
